index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Manufacturing Operations,,1,4,,10,2,,,17,Others
Product Testing,,,6,,7,4,,,17,Business
Online Business,1,1,3,,8,4,,,17,Business
Data Preparation,,1,7,,4,5,,,17,Data Science
Apparel,,1,9,,3,4,,,17,Others
Web Framework,1,,10,,4,2,,,17,Computer Science
vSphere,,3,6,,5,2,,,16,Computer Science
Common ISDN Application Programming Interface (CAPI),,2,4,1,7,2,,,16,Computer Science
Application Programming Interface (API),,2,4,1,7,2,,,16,Computer Science
Bond,,,7,,4,4,,1,16,Others
Social Information System,,2,4,1,7,2,,,16,Information Technology (IT)
Industrial Automation,1,3,7,,1,3,1,,16,Others
Big Data Analysis,,1,11,,2,1,1,,16,Data Science
Password,,,4,,11,1,,,16,Information Technology (IT)
Business Intelligence,,,6,1,4,5,,,16,Data Science
Messaging Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Marketing Analytics,2,,9,,3,2,,,16,Data Science
Legal Management,,,9,,4,3,,,16,Others
Corporate Communication,,3,7,,4,2,,,16,Business
Forestry,,2,4,,6,3,1,,16,Others
Software Architecture,,2,3,,4,7,,,16,Computer Science
Graph,,2,7,,4,3,,,16,Others
Network Architecture,,2,4,1,7,2,,,16,Information Technology (IT)
Authentication,,,6,,1,9,,,16,Information Technology (IT)
Configuration Management,2,1,8,,4,1,,,16,Business
Strategic Planning,1,,8,1,6,,,,16,Business
Performance Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Unix Shell,1,,12,,1,1,1,,16,Computer Science
Telephony Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Arts,,2,6,,2,6,,,16,Others
Management Information System (MIS),,1,6,,4,5,,,16,Business
Computer Vision,1,,3,2,5,5,,,16,Data Science
Kotlin,1,1,10,,3,1,,,16,Computer Science
Distributed System,2,,4,,6,3,1,,16,Computer Science
Profiling,1,2,1,,8,4,,,16,Computer Science
Chatbot,,1,4,,5,6,,,16,Data Science
Quantitative Research,,1,4,,4,7,,,16,Business
Tax Accounting,,3,10,,2,1,,,16,Business
React Native,,,6,,3,7,,,16,Computer Science
Materials Engineering,,5,6,,2,2,,,15,Others
Structural Engineering,,4,4,,3,4,,,15,Others
Commercial Law,1,,7,,4,3,,,15,Others
Biomaterials Engineering,,5,6,,2,2,,,15,Others
Salesforce,,1,7,,4,3,,,15,Business
Usability Engineering,,,5,,5,5,,,15,Computer Science
Object-Oriented Programming (OOP),,,2,,4,9,,,15,Computer Science
Naïve Bayes,,,3,,3,8,,,14,Data Science
CouchDB,,,6,1,2,5,,,14,Computer Science
Email Marketing Campaign,,,8,2,2,2,,,14,Business
Oil and Gas,,2,4,,7,1,,,14,Others
Computing Platform,,,3,,3,8,,,14,Information Technology (IT)
OpenShift,,2,8,,2,2,,,14,Information Technology (IT)
Indonesian,,,6,1,2,5,,,14,Others
Software Application,,,9,1,1,3,,,14,Computer Science
Service Management,,1,5,1,4,3,,,14,Business
Cleanroom,,1,5,,3,5,,,14,Computer Science
Process and Methodology,,1,7,1,2,3,,,14,Computer Science
Control Chart,,1,6,,4,3,,,14,Data Science
Software Development,,,6,,4,4,,,14,Computer Science
Food Production,,1,3,,7,3,,,14,Others
Maintanence,,,10,,1,2,,1,14,Others
Telecommunications Engineering,,1,9,,2,2,,,14,Others
Cost Accounting,,,7,,3,4,,,14,Business
Annual Report,,,5,,5,4,,,14,Business
Machine Learning Algorithm,,,3,,3,8,,,14,Data Science
Performance Review,,1,5,,3,5,,,14,Business
Decision Tree,,,3,,3,8,,,14,Data Science
Web Development,1,3,3,1,1,5,,,14,Computer Science
Computing,1,,5,,5,3,,,14,Computer Science
Cisco Router,1,2,3,,3,5,,,14,Information Technology (IT)
Population,1,,7,,3,3,,,14,Data Science
Legal Service,1,,7,,2,3,1,,14,Others
Xen Cloud Platform,,3,4,,5,2,,,14,Information Technology (IT)
Social Media Management,1,,5,1,3,4,,,14,Business
Source Code Management,,3,4,,5,2,,,14,Computer Science
Database Application,1,1,7,,1,4,,,14,Computer Science
Energy Consumption,,2,3,,6,2,1,,14,Computer Science
Task Management,1,1,6,1,4,1,,,14,Business
Ruby on Rails,1,1,2,,6,4,,,14,Computer Science
Tamil,1,,6,,5,2,,,14,Others
Infrastructure as a Service (IaaS),1,1,6,1,4,1,,,14,Information Technology (IT)
VOIP,2,1,5,,2,4,,,14,Business
Financial Risk Management,1,2,6,,1,4,,,14,Business
Property Information,2,,2,2,4,3,,,13,Business
Oil and Energy,1,1,3,,6,2,,,13,Others
Burmese,,,6,,4,3,,,13,Others
Tableau,,,7,2,2,2,,,13,Data Science
Sales Operations,2,2,3,,3,3,,,13,Business
Node.js,,2,5,1,2,3,,,13,Computer Science
Recreation,,1,3,,4,4,,,12,Others
Scripting Language,,1,7,,1,3,,,12,Computer Science
Cloud Computing,,1,5,,4,1,1,,12,Information Technology (IT)
Data Sharing,1,,6,,2,3,,,12,Data Science
macOS,2,1,5,,1,3,,,12,Computer Science
Database System,,,3,1,6,2,,,12,Computer Science
Bootstrap,,1,3,1,,7,,,12,Computer Science
Classification,,2,4,,5,1,,,12,Data Science
Supply and Demand,,,4,,3,5,,,12,Others
Cybersecurity,,,8,,4,,,,12,Information Technology (IT)
Software Interface,,,5,1,3,3,,,12,Computer Science
Active Listening,,,6,,3,3,,,12,Others
Robotics,,,6,,3,3,,,12,Data Science
Commodity,2,1,2,,3,4,,,12,Others
Version Control,,,7,1,1,3,,,12,Computer Science
Post-Sale Relationship Management,,,7,1,2,2,,,12,Business
PL/SQL,,,9,1,,1,,1,12,Computer Science
Electronic Control Systems,,,4,,5,3,,,12,Others
Tcl,1,,6,,5,,,,12,Computer Science
Concurrency,,,10,,2,,,,12,Computer Science
Requirement Analysis,2,1,3,,3,2,1,,12,Business
Redux,,,3,,7,2,,,12,Computer Science
Sales Management,,,4,,6,1,1,,12,Business
Repetition,1,,2,,6,2,,1,12,Computer Science
Q-learning,1,,1,2,5,3,,,12,Data Science
Cryptocurrency,,,4,,2,6,,,12,Information Technology (IT)
Bitbucket,,,3,,7,2,,,12,Computer Science
Digital Art,,2,5,,4,1,,,12,Others
Computer Game,,2,4,1,1,4,,,12,Others
SAS Statistical Analysis,3,1,2,,2,4,,,12,Data Science
Google Drive,,2,6,,4,,,,12,Information Technology (IT)
Affliate Marketing,,3,3,,5,1,,,12,Business
Information Management,,4,5,,2,1,,,12,Information Technology (IT)
Computer Worm,,2,7,,2,1,,,12,Information Technology (IT)
Deep Learning,1,,3,2,3,3,,,12,Data Science
Corporate Finance,,1,3,,7,1,,,12,Business
Carpentry,,,2,,6,3,,,11,Others
Television,2,,4,,4,1,,,11,Others
Informatics,,,6,,3,2,,,11,Information Technology (IT)
Report Analysis,,,6,,2,3,,,11,Business
Database Administration,,2,6,,2,1,,,11,Computer Science
Marketing Management,,,3,,5,3,,,11,Business
Aviation,,2,5,,1,3,,,11,Others
Steganography,,1,4,,5,1,,,11,Information Technology (IT)
Safari,2,,5,,2,2,,,11,Information Technology (IT)
Geometry,1,,5,,2,2,,,10,Others
DevOps Automation Tool,,,4,,1,4,,1,10,Computer Science
Philosophy,1,3,3,,1,2,,,10,Others
Industrial and Organizational Psychology,,,5,,2,3,,,10,Others
Financial Regulation,1,,3,,1,5,,,10,Business
Social Science,,,2,,3,5,,,10,Others
Video Encoding,,,5,1,4,,,,10,Computer Science
Agile Methodology,,1,4,,1,4,,,10,Business
Health Psychology,,,5,,2,3,,,10,Others
Social Network,,1,6,,2,1,,,10,Others
Cloud Computing Architecture,1,,1,2,3,3,,,10,Information Technology (IT)
Data Modeling,,1,7,,1,1,,,10,Data Science
Forensic Psychology,,,5,,2,3,,,10,Others
Experimental Psychology,,,5,,2,3,,,10,Others
Behaviour Analysis,,,5,,2,3,,,10,Others
Software Testing,,,1,,2,7,,,10,Computer Science
Reverse Engineering,,1,3,,2,4,,,10,Computer Science
SciPy,1,,1,2,3,3,,,10,Computer Science
Optometry,,,5,1,4,,,,10,Others
NumPy,1,,1,2,3,3,,,10,Computer Science
Scientific Method,,1,6,,2,1,,,10,Others
Uncertainty,,1,3,,1,5,,,10,Others
Hive,,,4,,4,2,,,10,Computer Science
Mathematical Modelling,1,,4,1,1,3,,,10,Others
Cloud Database Management System,,,5,,4,1,,,10,Computer Science
Google Workspace,,,5,,3,2,,,10,Information Technology (IT)
Drupal,,,5,,2,3,,,10,Business
Flowchart,1,,2,,3,4,,,10,Computer Science
Load Balancing,,1,7,,1,1,,,10,Information Technology (IT)
Developmental Psychology,,,5,,2,3,,,10,Others
Data Acquisition,1,,6,,3,,,,10,Data Science
Probability,,,6,1,2,1,,,10,Data Science
Algebra,1,,1,2,3,3,,,10,Others
Securities,,1,3,,4,2,,,10,Others
Cryptography,,,5,,1,4,,,10,Information Technology (IT)
Matplotlib,1,,1,2,3,3,,,10,Data Science
Correlation,,2,1,2,2,3,,,10,Data Science
Pharmacology,,1,4,,5,,,,10,Others
Environmental Science,,1,4,,5,,,,10,Others
Forensic Science,,1,4,,5,,,,10,Others
Financial Management,,,6,,3,1,,,10,Business
Dreamweaver,,1,6,,1,2,,,10,Others
Model Based Reinforcement Learning,1,,1,2,3,3,,,10,Data Science
Data Cleansing,,,4,,4,2,,,10,Data Science
Clinical Psychology,,,5,,2,3,,,10,Others
Web Application Security,,2,5,,2,1,,,10,Information Technology (IT)
Perl,,,5,,,5,,,10,Computer Science
Ruby,,1,7,,1,1,,,10,Computer Science
Wireless Network,1,2,1,,1,5,,,10,Information Technology (IT)
Market Analysis,,,6,,3,1,,,10,Business
Financial Engineering,1,2,4,1,,1,,,9,Business
Microbiology,,,4,,4,,1,,9,Others
Subject Matter Expert (SME),1,,4,,2,2,,,9,Business
Business Intelligence Tool,1,1,2,1,2,2,,,9,Data Science
Financial Accounting,,,4,,3,2,,,9,Business
Tax Law,,,5,,2,2,,,9,Others
Operations Management,1,,4,,1,3,,,9,Business
Outsourcing,1,,3,,3,2,,,9,Business
Construction Law,,1,5,,,3,,,9,Others
Network Management,1,1,1,,1,4,,,8,Information Technology (IT)
Business Writing,,2,2,,2,2,,,8,Business
Bug Tracking System,,3,2,,2,1,,,8,Data Science
Wireless Security,1,1,1,,1,4,,,8,Information Technology (IT)
Basic Access Authentication,1,1,1,,1,4,,,8,Information Technology (IT)
Microsoft Access,,,6,,1,1,,,8,Business
Financial Services,,,6,,2,,,,8,Business
Tomcat,,,6,,1,1,,,8,Computer Science
Data Security,,,2,,,5,,1,8,Information Technology (IT)
Forth,,,5,,3,,,,8,Computer Science
Educational Psychology,,,2,,1,3,2,,8,Others
Cloud Platform,1,,6,,1,,,,8,Information Technology (IT)
Product Roadmap,,3,2,,3,,,,8,Business
Production Set,,3,2,,1,2,,,8,Others
Magento,,,6,,,2,,,8,Business
Pascal,,,6,,1,1,,,8,Computer Science
Marine Engineering,1,1,1,,3,2,,,8,Others
Routing Protocol,1,1,1,,1,4,,,8,Information Technology (IT)
Mathematical Economics,1,2,3,1,,1,,,8,Others
Requirements Gathering,1,1,1,,2,2,1,,8,Business
International Finance,1,,3,,3,1,,,8,Business
WooCommerce,,1,3,,2,2,,,8,Business
Payment Processing,,1,5,,1,1,,,8,Computer Science
Digital Media,,1,2,1,2,2,,,8,Others
Public Policy,1,,3,,1,3,,,8,Others
Encoding,1,,1,,2,4,,,8,Computer Science
Marketing Design,,,4,,3,1,,,8,Business
Strategic Management,2,1,,,2,3,,,8,Business
Build Tool,,1,5,,1,1,,,8,Computer Science
Infographics,,,3,,1,4,,,8,Others
Programming Language Theory,2,,2,,,4,,,8,Computer Science
Content Management System (CMS),,1,2,1,3,1,,,8,Business
Pivot Table,1,,3,,1,3,,,8,Business
Email Production,,,3,,4,1,,,8,Business
Marketing Psychology,,1,6,,,,1,,8,Business
Web Application Framework,,,1,,2,5,,,8,Computer Science
Needs Analysis,,,3,,3,2,,,8,Business
Gender and Sexuality Studies,1,,3,,1,3,,,8,Others
Computer-aided Design,,,4,,2,2,,,8,Computer Science
Scala,,,3,,4,1,,,8,Computer Science
Software as a Service (SaaS),,,5,,2,1,,,8,Computer Science
Financial Law,,1,1,,5,1,,,8,Others
Storage System,1,,4,,2,1,,,8,Information Technology (IT)
Loader,,1,1,1,4,1,,,8,Computer Science
Legal Systems,1,,3,,1,3,,,8,Others
Hbase,,,3,,4,1,,,8,Computer Science
Clustering,,,3,,,5,,,8,Data Science
German,,,3,,3,2,,,8,Others
Audio Production,,,3,,3,2,,,8,Business
Tree,,,4,,2,2,,,8,Computer Science
Supply Chain Management,,1,2,,3,2,,,8,Business
Wireframing,,,3,,1,4,,,8,Others
Photo Editing,,2,4,,1,,,,7,Others
Consumer Behaviour,,2,4,,1,,,,7,Business
Business Intelligence Testing,1,1,2,1,2,,,,7,Data Science
Culinary Art,,,3,,3,1,,,7,Others
Email Management,,,3,,3,1,,,7,Business
Corporate Law,,,4,,3,,,,7,Others
Investor Relations,,,5,,2,,,,7,Business
Microsoft .NET,,,3,,2,2,,,7,Computer Science
Tracking System,1,1,3,1,1,,,,7,Data Science
UI Design,,,3,,3,1,,,7,Computer Science
Electronic Materials,,,4,,2,,,,6,Others
COBOL,,,4,,1,1,,,6,Computer Science
Enterprise Software,,,4,,1,1,,,6,Business
Science and Technology Studies,,,4,,1,,,1,6,Others
Interactive Media,,,4,,2,,,,6,Others
Working Capital,,,4,,1,1,,,6,Business
Joomla,,,3,,2,1,,,6,Business
Sustainable Development,,,4,,2,,,,6,Others
Facial Recognition,,,3,,2,1,,,6,Data Science
Gamification,,,3,,2,1,,,6,Others
Investment Banking,,,3,,1,2,,,6,Business
Operations Research,,,3,,2,1,,,6,Others
Social Work,,,2,,3,1,,,6,Others
Stock Market,,,3,,1,2,,,6,Business
Empathy,,,4,,1,1,,,6,Business
Global Server Load Balancing,,,4,,2,,,,6,Information Technology (IT)
Amazon Web Service (AWS),,,3,,1,2,,,6,Information Technology (IT)
Radiology,,,4,,,2,,,6,Others
e-business,,,2,,2,2,,,6,Business
Vulnerability,,,4,,1,1,,,6,Information Technology (IT)
Applied Mathematics,,,2,,2,2,,,6,Others
Paid Socia Media Advertisement,,,4,,1,1,,,6,Business
Key-value Database Management System,,,3,,2,1,,,6,Computer Science
Storytelling,,,3,,,3,,,6,Business
Social Networking Tool,,,4,,2,,,,6,Data Science
Responsive Web Design,,,2,,2,2,,,6,Computer Science
Encryption,,,4,,1,1,,,6,Information Technology (IT)
Key Management,,,4,,1,1,,,6,Information Technology (IT)
Vmware ESXi,,,2,,,3,,1,6,Information Technology (IT)
Yii,,,3,,2,1,,,6,Computer Science
Secure Coding,,,2,,,3,,1,6,Information Technology (IT)
Relational Database Management System (RDSMS),,,3,,2,1,,,6,Computer Science
SAS,,,2,,1,3,,,6,Data Science
Cloud Application,,,2,,2,1,1,,6,Information Technology (IT)
Patient Care,,,2,,2,2,,,6,Others
Multi-model Database Management System,,,3,,2,1,,,6,Computer Science
Facilities Engineering,,,4,1,1,,,,6,Others
Social Selling,,1,2,,2,1,,,6,Business
Search Engine Marketing,,,4,,2,,,,6,Business
Graph Database,1,,1,,2,2,,,6,Computer Science
IP Address,,1,2,,2,1,,,6,Information Technology (IT)
Storage Management,,,2,,3,1,,,6,Information Technology (IT)
Market Segmentation,,,2,,1,3,,,6,Business
Storyboarding,,1,2,,,3,,,6,Others
Statutory Law,,1,2,,2,1,,,6,Others
Verification And Validation,,2,2,,2,,,,6,Information Technology (IT)
Petty Cash Control,,2,3,,,1,,,6,Business
Regression Testing,,,2,,2,2,,,6,Data Science
Budget Planning,,2,1,,1,2,,,6,Business
Property Management Software,,2,1,,2,1,,,6,Business
Property Management System,,2,3,,1,,,,6,Business
Goal Tracking System,,3,1,,2,,,,6,Data Science
Fast Ethernet,1,1,2,,1,1,,,6,Information Technology (IT)
Knowledge Management,,1,3,,2,,,,6,Business
Business Analytics,1,,3,,2,,,,6,Business
Revision Control,1,,5,,,,,,6,Computer Science
Mobile Development,1,,4,,,1,,,6,Computer Science
Agricultural Production,,,1,,2,3,,,6,Others
Apache,,,1,,,5,,,6,Computer Science
Email Client,1,,1,,2,2,,,6,Business
Syntax,1,,4,,1,,,,6,Others
Microsoft Azure,1,,4,,1,,,,6,Information Technology (IT)
Urban Engineering,1,,4,,1,,,,6,Others
Search Engine Optimization (SEO),1,,2,,3,,,,6,Business
Search Engine and Keyword Optimization,1,,2,,3,,,,6,Business
Oracle Databases,1,,3,,1,1,,,6,Computer Science
Objection Handling,2,1,,,3,,,,6,Business
Maven,,2,3,,1,,,,6,Computer Science
Electronic Key Management System,,,2,2,1,1,,,6,Information Technology (IT)
Gecko,,,2,,2,2,,,6,Information Technology (IT)
Software Package,,,4,,2,,,,6,Computer Science
Liquidation,,,5,,1,,,,6,Business
Logic,,,4,,1,1,,,6,Others
Talent Management,,,4,,2,,,,6,Business
Professional Training,,,5,,1,,,,6,Business
Unit Cost,2,1,,,1,2,,,6,Others
Systems Engineering,,,4,,1,1,,,6,Others
Testing Hypothesis,2,1,,,1,2,,,6,Data Science
Opera,,1,1,,1,3,,,6,Information Technology (IT)
Natural Language Processing Toolkit (NLTK),,1,2,,2,1,,,6,Data Science
Natural Language Processing System,,1,2,,2,1,,,6,Data Science
Innovation Management,,,4,,2,,,,6,Business
Natural Language Processing (NLP),,1,2,,2,1,,,6,Data Science
Project Chart,,,2,,2,2,,,6,Data Science
Data Presentation,,,2,1,2,1,,,6,Data Science
Game Development,,,2,,4,,,,6,Others
Development Studies,,,2,,4,,,,6,Others
Horticulture,,1,2,,1,2,,,6,Others
Meteorology,,1,1,1,1,2,,,6,Others
Contact Manager,,,2,1,2,,,,5,Business
Financial Modeling,,,3,,2,,,,5,Data Science
Psychometrics,,1,1,,2,1,,,5,Others
Web Scraping,,,4,,1,,,,5,Data Science
Digital Printing,,,2,,2,1,,,5,Others
Greenhopper,,,2,,1,1,,,4,Business
Cordova,,,2,,1,1,,,4,Computer Science
Animal Husbandry,,,1,,1,2,,,4,Others
Problem Management,,,2,,1,1,,,4,Business
Microsoft Power BI,,,1,2,,1,,,4,Data Science
Microsoft SQL Servers,,,2,,,2,,,4,Computer Science
Visual Studio Code,,,2,,,2,,,4,Computer Science
Wireless LAN,,,2,,1,1,,,4,Information Technology (IT)
Corel Draw,,,2,,,2,,,4,Others
Enterprise System,,,2,,1,1,,,4,Business
Gantt Chart,,,1,,1,2,,,4,Data Science
Economic Growth,,,1,,2,1,,,4,Others
Persuasion,,,1,,1,2,,,4,Business
Social Psychology,,,,,2,2,,,4,Others
MATLAB,,,1,,1,2,,,4,Others
Dash,,,2,,1,1,,,4,Data Science
Oracle NoSQL Database,,,2,,1,1,,,4,Computer Science
Red Hat,,,2,,1,1,,,4,Information Technology (IT)
Polytron Version Control System (PVCS),,,2,,1,1,,,4,Computer Science
Pediatrics,,,2,,2,,,,4,Others
Quma Version Control System (QVCS),,,2,,1,1,,,4,Computer Science
Signal Processing,,,2,,1,1,,,4,Data Science
Ajax,,,2,,,2,,,4,Computer Science
Pattern Recognition,,,2,,1,1,,,4,Data Science
T-SQL,,,1,1,,2,,,4,Computer Science
SPSS,,,1,,1,2,,,4,Data Science
Human Machine Interface,,,1,1,,2,,,4,Computer Science
Public Health,,,2,,2,,,,4,Others
Financial Risk,,,,,,4,,,4,Business
Supervised Machine Learning,,,2,,1,1,,,4,Data Science
Sentiment Analysis,,,2,,1,1,,,4,Data Science
Music Therapy,,,1,,2,1,,,4,Others
Extract Transform Load (ETL),,,1,,2,1,,,4,Computer Science
Text Analysis,,,1,1,2,,,,4,Data Science
PrestaShop,,,2,,,2,,,4,Business
Privacy,,1,,,3,,,,4,Information Technology (IT)
Materials Science,,1,2,,1,,,,4,Others
Semantic Analysis,,1,,1,1,1,,,4,Data Science
Teradata,,,4,,,,,,4,Computer Science
SQLite,,,4,,,,,,4,Computer Science
Food Service Operations,,1,1,,1,1,,,4,Business
Marketing Content Development,,1,1,,1,1,,,4,Business
Imagine,,1,1,,1,1,,,4,Computer Science
Systems Management,,1,1,,,2,,,4,Business
Mean Shift,,1,1,,2,,,,4,Data Science
Computer Systems Organization,,1,2,,1,,,,4,Computer Science
French,,1,2,,,,1,,4,Others
Microsoft PowerPoint,,,4,,,,,,4,Business
Biomedical Engineering,,1,1,,2,,,,4,Others
Polymer Engineering,,1,2,,1,,,,4,Others
VersionOne,,,2,,1,1,,,4,Business
Event Planning,,2,,,,2,,,4,Business
STATA,,2,2,,,,,,4,Data Science
Apache Kafka,1,,1,2,,,,,4,Computer Science
International Financial Reporting Standards (IFRS),1,,1,,2,,,,4,Business
Vacuum Engineering,1,,2,,1,,,,4,Others
Graphical User Interface (GUI),1,,1,,,2,,,4,Computer Science
Programming Tool,,,4,,,,,,4,Computer Science
Web API,,,4,,,,,,4,Information Technology (IT)
MongoDB,,,4,,,,,,4,Computer Science
Torch,1,,3,,,,,,4,Data Science
Slack,,,2,,1,1,,,4,Business
Geography,1,,2,,,1,,,4,Others
Performing Art,1,1,1,,,1,,,4,Others
Decision Process,,,2,,1,1,,,4,Business
Proof Theory,,,2,,1,1,,,4,Others
Conceptual Art,,,2,,1,1,,,4,Others
Financial Statement Analysis,,,2,,1,1,,,4,Business
Jin Chinese,1,,,1,,2,,,4,Others
Ubuntu,,,3,,,1,,,4,Computer Science
MariaDB,,,3,,,1,,,4,Computer Science
Mastercam,,,3,,1,,,,4,Computer Science
OpenStack,,,3,,,1,,,4,Information Technology (IT)
Apache Ant,,,4,,,,,,4,Computer Science
User Interface Design,1,,1,,,2,,,4,Computer Science
Digital Marketing System,1,,1,,1,,,,3,Information Technology (IT)
Engineering Technology,,,1,1,1,,,,3,Others
Ant,,,,,2,1,,,3,Computer Science
Architectural Engineering,,,,,2,1,,,3,Others
Currency,,,,,3,,,,3,Others
Know Your Customer (KYC),,,,,3,,,,3,Business
Business Intelligence (BI),1,,1,,1,,,,3,Data Science
Instrumentaion Engineering,,,2,,,1,,,3,Others
Agronomy,,2,,,,1,,,3,Others
Jelastic,,,2,,,1,,,3,Information Technology (IT)
Cookies,,,,,2,,,,2,Information Technology (IT)
IBM Cognos Business Intelligence,,,,,,2,,,2,Data Science
Russian,1,,1,,,,,,2,Others
Records Management,,,1,,,1,,,2,Business
Complex Analysis,,,1,,1,,,,2,Others
Issue Tracking System,,,1,,,1,,,2,Data Science
Antivirus Software,,,,,,2,,,2,Information Technology (IT)
IBM DB2,,,,,,2,,,2,Computer Science
Cassandra,,,1,,,1,,,2,Computer Science
Network Service,,,1,,,1,,,2,Information Technology (IT)
Rehabilitation,,,1,,,1,,,2,Others
Principle of Legality,,,,,,2,,,2,Others
Adobe Acrobat,,,,,,2,,,2,Others
Socket,,,,,2,,,,2,Information Technology (IT)
Process Control System,,,,1,,1,,,2,Information Technology (IT)
Ensemble,,,,1,1,,,,2,Data Science
Mathematical Logic,1,1,,,,,,,2,Others
Regional Planning,,,1,,1,,,,2,Business
Hydroponics,,,,,2,,,,2,Others
Mixed Reality,,,,,2,,,,2,Computer Science
Rapport Building,,,,,1,1,,,2,Business
Media Production,,,,,2,,,,2,Business
Rent,,,,,1,1,,,2,Others
Reliability Engineering,,,2,,,,,,2,Others
Mathematical Programming,,,1,,1,,,,2,Others
Exploit,,,1,,1,,,,2,Information Technology (IT)
Cognitive Psychology,,,1,,1,,,,2,Others
Product Liability,,,2,,,,,,2,Business
Derivative,,,2,,,,,,2,Others
Capacity Utilization,,,2,,,,,,2,Others
Pandas,,,2,,,,,,2,Computer Science
Resource Management,,,2,,,,,,2,Business
Database Development,,,2,,,,,,2,Computer Science
Information Science,,2,,,,,,,2,Others
Socket Programming,,,1,,,1,,,2,Information Technology (IT)
Intellectual Property Law,,,1,,1,,,,2,Others
Psychology,,,1,,1,,,,2,Others
Industrial Design,,,1,,1,,,,2,Others
Intellectual Property Rights,,,1,,1,,,,2,Business
Intellectual Property (IP),,,1,,1,,,,2,Business
Cost-benefit Analysis,,,1,,1,,,,2,Others
Design Analysis,,,1,,,1,,,2,Others
Gurobi,,,1,,1,,,,2,Computer Science
Immunology,,,1,,1,,,,2,Others
Toxicology,,,1,,1,,,,2,Others
Marketing Consulting,1,,,,,1,,,2,Business
ISO 9000,,,1,,1,,,,2,Computer Science
Google OR-Tools,,,1,,1,,,,2,Computer Science
Crisis Management,1,,,,,1,,,2,Business
Public Relations (PR),1,,,,,1,,,2,Business
Visual Communication,1,,,,1,,,,2,Others
Programming Model,,,1,,,1,,,2,Computer Science
Chemical Processing,,,1,,1,,,,2,Others
CPLEX,,,1,,1,,,,2,Computer Science
Typography,,,1,,,,,,1,Others
Embedded System,,,1,,,,,,1,Computer Science
Information Technology (IT),,,1,,,,,,1,Information Technology (IT)
Microsoft Business Intelligence,,,,,,1,,,1,Data Science
Oracle SQL Developer,,,,,,1,,,1,Computer Science
Microsoft Visio,,,,,,1,,,1,Data Science