,Skill
0,AB Testing
1,AB testing
2,AI
3,AIML
4,API
5,AWS
6,Adaptive Insights
7,Airflow
8,Alice
9,Alteryx
10,Android
11,Angular
12,AngularJS
13,AnswerRocket
14,Artificial Intelligence
15,AutoCAD
16,Autoencoder
17,Autoencoders
18,Azure
19,Bash
20,Big Data
21,BigQuery
22,Bitbucket
23,BrandMap
24,Business Intelligence
25,C
26,C#
27,C++
28,CG
29,CICD
30,CNN
31,CNNs
32,COBOL
33,CSS
34,CUDA-Convnet
35,Caffe
36,Canva
37,Cassandra
38,Chartio
39,Classification
40,ClicData
41,Cloud
42,Common Lisp
43,Computer Vision
44,Convolutional Neural Network
45,Convolutional Neural Networks
46,CricleCI
47,D3
48,DBxtra
49,Data Analysis
50,Data Engineering
51,Data Visualisation
52,Database Management
53,Databricks
54,Decision Trees
55,Deep Learning
56,Deeplearning4j
57,DevOps
58,Dimensionality Reduction
59,Distribution
60,Docker
61,Domo
62,DynamoDB
63,ETL
64,EXEC
65,Elasticsearch
66,Emacs Lisp
67,Erlang
68,Excel
69,Factor
70,Fastai
71,Forth
72,Fortran
73,Frontend
74,GCP
75,GIS
76,Geckoboard
77,Generative Models
78,Git
79,GitHub
80,GitLab
81,Github
82,Gitlab
83,Go
84,Golang
85,Graph Neural Networks
86,HBase
87,HTML
88,Hadoop
89,Hbase
90,Heap
91,Hedge
92,Hive
93,Impala
94,Improvado
95,Infogram
96,JIRA
97,JS
98,JSON
99,Java
100,JavaScript
101,Javascript
102,Jenkins
103,Jira
104,Julia
105,Jupyter
106,Kafka
107,Keras
108,Kubernetes
109,Linux
110,Looker
111,Lua
112,MATLAB
113,ML
114,MQL4
115,MS Office
116,MS SQL
117,Machine Learning
118,MapReduce
119,Maple
120,MariaDB
121,Mathematica
122,Matlab
123,Mercury
124,Microsoft Office
125,Minitab
126,MoData
127,Modelling
128,MongoDB
129,MySQL
130,NET
131,NLP
132,Naive Bayes
133,Natural Language Processing
134,Networking
135,Neural Network
136,Neural Networks
137,NoSQL
138,NodeJS
139,Nodejs
140,OpenCV
141,OpenEdge ABL
142,Oracle
143,PHP
144,PLSQL
145,Pandas
146,Pascal
147,Perl
148,Php
149,Pig
150,Plecto
151,Plotly
152,PostgreSQL
153,Power BI
154,PowerBI
155,PowerPoint
156,PowerShell
157,PySpark
158,PyTorch
159,Pyspark
160,Python
161,Pytorch
162,QA
163,Qlik
164,R 
165,RDBMS
166,REST
167,RESTful
168,RNN
169,RNNs
170,Random Forest
171,ReactJS
172,Recurrent Neural Network
173,Recurrent Neural Networks
174,Redshift
175,Regression
176,Roambi Analytics
177,Ruby
178,Rust
179,SAP
180,SAS
181,SCADA
182,SPARK
183,SPSS
184,SQL
185,SVM
186,Salesforce
187,Scala
188,Scheme
189,Scikit-learn
190,Scikitlearn
191,Scratch
192,Shell
193,Sisense
194,Sklearn
195,Software Development
196,Software Engineering
197,Spark
198,Splunk
199,Spring
200,Stata
201,Statistical Modelling
202,Statistics
203,Swift
204,TCPIP
205,Tableau
206,TensorFlow
207,Tensorflow
208,Theano
209,Torch
210,UNIX
211,Unix
212,VBA
213,VBScript
214,VMware
215,Variational Autoencoder
216,Variational Autoencoders
217,Visual Basic
218,Windows
219,XML
220,iDashboards